"design","score","rank","average-cohession","average-coupling"
"A1 A2 A3 A4 A5 A6 A7 A8 A9 B1 B2 B3 B4 B5 B6 B7 B8 C1 C2 C3 C4 C5 C6 C7 D0 D1 D2 D3 D5 D6 D7 D8 D9 X1 Y1",0.04081632653061229,10,1,-0.9591836734693877
"A1$A9 A2 A3 A4 A5 A6 A7 A8 B1 B2 B3 B4 B5 B6 B7 B8 C1 C2 C3 C4 C5 C6 C7 D0 D1 D2 D3 D5 D6 D7 D8 D9 X1 Y1",0.03361344537815114,12,1,-0.9663865546218489
"A1$A9 A2 A3 A4 A5 A6 A7 A8 B1$B7 B2 B3 B4 B5 B6 B8 C1 C2 C3 C4 C5 C6 C7 D0 D1 D2 D3 D5 D6 D7 D8 D9 X1 Y1",0.025974025974025983,15,1,-0.974025974025974
"A1$A9 A2 A3 A4 A5 A6 A7 A8 B1$B7 B2 B3 B4 B5 B6 B8 C1 C2 C3 C4 C5 C6 C7 D0 D1 D2$D6 D3 D5 D7 D8 D9 X1 Y1",0.017857142857142794,16,1,-0.9821428571428572
"A1$A9 A2 A3 A4 A5 A6 A7 A8 B1$B7$B4 B2 B3 B5 B6 B8 C1 C2 C3 C4 C5 C6 C7 D0 D1 D2$D6 D3 D5 D7 D8 D9 X1 Y1",-0.001536098310292111,23,0.9892473118279569,-0.990783410138249
"A1$A9 A2 A3 A4 A5 A6 A7 A8 B1$B7$B4$B3 B2 B5 B6 B8 C1 C2 C3 C4 C5 C6 C7 D0 D1 D2$D6 D3 D5 D7 D8 D9 X1 Y1",-0.01666666666666672,29,0.9833333333333333,-1
"A1$A9 A2 A3 A4 A5 A6 A7 A8 B1$B7$B4$B3$B6 B2 B5 B8 C1 C2 C3 C4 C5 C6 C7 D0 D1 D2$D6 D3 D5 D7 D8 D9 X1 Y1",-0.005911330049261254,25,0.9793103448275862,-0.9852216748768474
"A1$A9 A2 A3 A4 A5 A6 A7 A8 B1$B7$B4$B3$B6 B2 B5 B8 C1 C2 C3$C6 C4 C5 C7 D0 D1 D2$D6 D3 D5 D7 D8 D9 X1 Y1",0.009183673469387643,20,0.9785714285714285,-0.9693877551020409
"A1$A9 A2 A3 A4 A5 A6 A7 A8 B1$B7$B4$B3$B6 B2 B5 B8 C1 C2 C3$C6$D7 C4 C5 C7 D0 D1 D2$D6 D3 D5 D8 D9 X1 Y1",-0.013403880070546825,28,0.9654320987654321,-0.978835978835979
"A1$A9 A2 A3 A4 A5 A6 A7 A8 B1$B7$B4$B3$B6 B2 B5 B8 C1 C2 C3$C6$D7 C4 C5 C7 D0 D1$D5 D2$D6 D3 D8 D9 X1 Y1",0.002564102564102444,22,0.9641025641025641,-0.9615384615384617
"A1$A9 A2 A3 A4 A5 A6 A7 A8 B1$B7$B4$B3$B6 B2 B5 B8 C1 C2 C3$C6$D7 C4 C5 C7 D0 D1$D5 D2$D6 D3 D8 D9$Y1 X1",-0.00876190476190486,27,0.9626666666666667,-0.9714285714285715
"A1$A9 A2 A3 A4$A6 A5 A7 A8 B1$B7$B4$B3$B6 B2 B5 B8 C1 C2 C3$C6$D7 C4 C5 C7 D0 D1$D5 D2$D6 D3 D8 D9$Y1 X1",-0.021031746031746068,32,0.9611111111111111,-0.9821428571428572
