"design","score","rank","average-cohession","average-coupling"
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessOpts JSON2CSVBase.preprocessRow JSON2CSVBase.processCell JSON2CSVBase.processRow JSON2CSVBase.processValue JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVParser.processData JSON2CSVTransform._flush JSON2CSVTransform._transform JSON2CSVTransform.constructor JSON2CSVTransform.getPendingData JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine JSON2CSVTransform.write flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.fastJoin utils.flattenReducer utils.setProp utils.unsetProp",0,32,1,-1
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessOpts JSON2CSVBase.preprocessRow JSON2CSVBase.processCell JSON2CSVBase.processRow JSON2CSVBase.processValue JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVParser.processData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine JSON2CSVTransform.write flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.fastJoin utils.flattenReducer utils.setProp utils.unsetProp",0.00903225806451613,31,1,-0.9909677419354839
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell JSON2CSVBase.processRow JSON2CSVBase.processValue JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVParser.processData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine JSON2CSVTransform.write flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.fastJoin utils.flattenReducer utils.setProp utils.unsetProp",0.01866666666666661,30,1,-0.9813333333333334
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue JSON2CSVBase.processRow JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVParser.processData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine JSON2CSVTransform.write flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.fastJoin utils.flattenReducer utils.setProp utils.unsetProp",0.028965517241379413,29,1,-0.9710344827586206
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVBase.processRow JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVParser.processData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine JSON2CSVTransform.write flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.fastJoin utils.flattenReducer utils.setProp utils.unsetProp",0.040000000000000036,28,1,-0.96
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVBase.processRow JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVParser.processData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.fastJoin utils.flattenReducer utils.setProp utils.unsetProp",0.05185185185185193,27,1,-0.9481481481481481
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVBase.processRow$utils.fastJoin JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVParser.processData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.06461538461538463,25,1,-0.9353846153846154
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.06506666666666672,24,0.9866666666666667,-0.9216
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.12583333333333335,23,0.9791666666666666,-0.8533333333333333
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVParser.parse$JSON2CSVParser.preprocessData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.14347826086956517,22,0.9782608695652174,-0.8347826086956522
