"design","score","rank","average-cohession","average-coupling"
"A1 A2 A3 A4 A5 A6 A7 A8 A9 B1 B2 B3 B4 B5 B6 B7 B8 C1 C2 C3 C4 C5 C6 C7 D0 D1 D2 D3 D5 D6 D7 D8 D9 X1 Y1",0.1336405529953918,3,1,-0.8663594470046082
"A1 A2 A3 A4 A5 A6 A7 A8 A9 B1 B2 B3 B4 B5 B6 B7 B8 C1$C2 C3 C4 C5 C6 C7 D0 D1 D2 D3 D5 D6 D7 D8 D9 X1 Y1",0.0952004182883418,4,0.9680656934306568,-0.872865275142315
"A1 A2 A3 A4 A5 A6 A7 A8 A9 B1 B2 B3 B4 B5 B6 B7 B8 C1$C2$C4 C3 C5 C6 C7 D0 D1 D2 D3 D5 D6 D7 D8 D9 X1 Y1",0.06778224914556441,6,0.96709798717098,-0.8993157380254155
"A1 A2 A3 A4 A5 A6 A7 A8 A9 B1 B2 B3 B4 B5 B6 B7 B8 C1$C2$C4 C3 C5 C6 C7 D0 D1 D2 D3$D5 D6 D7 D8 D9 X1 Y1",0.045042824346597565,7,0.9321395985401459,-0.8870967741935484
"A1 A2 A3 A4 A5 A6$A8 A7 A9 B1 B2 B3 B4 B5 B6 B7 B8 C1$C2$C4 C3 C5 C6 C7 D0 D1 D2 D3$D5 D6 D7 D8 D9 X1 Y1",0.041647994409716116,8,0.8949258299976453,-0.8532778355879291
"A1$A2 A3 A4 A5 A6$A8 A7 A9 B1 B2 B3 B4 B5 B6 B7 B8 C1$C2$C4 C3 C5 C6 C7 D0 D1 D2 D3$D5 D6 D7 D8 D9 X1 Y1",-0.0049839102111293165,11,0.8552311435523114,-0.8602150537634408
"A1$A2 A3 A4$A5 A6$A8 A7 A9 B1 B2 B3 B4 B5 B6 B7 B8 C1$C2$C4 C3 C5 C6 C7 D0 D1 D2 D3$D5 D6 D7 D8 D9 X1 Y1",-0.05483180825410239,13,0.8127988925245405,-0.8676307007786429
"A1$A2 A3 A4$A5 A6$A8 A7 A9 B1 B2 B3 B4 B5$B8 B6 B7 C1$C2$C4 C3 C5 C6 C7 D0 D1 D2 D3$D5 D6 D7 D8 D9 X1 Y1",-0.10824027044300188,14,0.7673357664233575,-0.8755760368663594
"A1$A2 A3 A4$A5 A6$A8 A7 A9 B1 B2 B3 B4 B5$B8 B6 B7 C1$C2$C4 C3 C5 C6 C7$X1 D0 D1 D2 D3$D5 D6 D7 D8 D9 Y1",-0.18949977762080417,15,0.7185050013517167,-0.9080047789725209
"A1$A2 A3$A4$A5 A6$A8 A7 A9 B1 B2 B3 B4 B5$B8 B6 B7 C1$C2$C4 C3 C5 C6 C7$X1 D0 D1 D2 D3$D5 D6 D7 D8 D9 Y1",-0.21043587328612068,17,0.7076782706344749,-0.9181141439205955
"A1$A2 A3$A4$A5 A6$A8 A7 A9 B1 B2$B3 B4 B5$B8 B6 B7 C1$C2$C4 C3 C5 C6 C7$X1 D0 D1 D2 D3$D5 D6 D7 D8 D9 Y1",-0.27647751353896866,20,0.6525547445255474,-0.9290322580645161
"A1$A2 A3$A4$A5 A6$A8 A7 A9 B1 B2$B3 B4$B6 B5$B8 B7 C1$C2$C4 C3 C5 C6 C7$X1 D0 D1 D2 D3$D5 D6 D7 D8 D9 Y1",-0.3480226238128874,22,0.592837591240876,-0.9408602150537634
"A1$A2 A3$A4$A5 A6$A8 A7 A9 B1 B2$B3 B4$B6 B5$B8 B7 C1$C2$C4$C3 C5 C6 C7$X1 D0 D1 D2 D3$D5 D6 D7 D8 D9 Y1",-0.37858181222550935,24,0.5751348778165662,-0.9537166900420756
"A1$A2 A3$A4$A5 A6$A8 A7 A9 B1 B2$B3 B4$B6 B5$B8 B7 C1$C2$C4$C3 C5 C6 C7$X1 D0 D1 D2 D3$D5$D8 D6 D7 D9 Y1",-0.41191910867564263,26,0.5558228268082283,-0.9677419354838709
"A1$A2 A3$A4$A5 A6$A8 A7 A9 B1 B2$B3 B4$B6 B5$B8 B7 C1$C2$C4$C3 C5 C6 C7$X1 D0 D1 D2 D3$D5$D8 D6$D7 D9 Y1",-0.5001345487571057,34,0.4829683698296837,-0.9831029185867894
"A1$A2 A3$A4$A5 A6$A8 A7 A9 B1 B2$B3 B4$B6 B5$B8 B7 C1$C2$C4$C3 C5 C6 C7$X1 D0 D1 D2 D3$D5$D8 D6$D7$Y1 D9",-0.5428832116788321,35,0.45711678832116787,-1
"A1$A2 A3$A4$A5$B2$B3 A6$A8 A7 A9 B1 B4$B6 B5$B8 B7 C1$C2$C4$C3 C5 C6 C7$X1 D0 D1 D2 D3$D5$D8 D6$D7$Y1 D9",-0.49903027524072735,33,0.4856895889358432,-0.9847198641765705
"A1$A2 A3$A4$A5$B2$B3 A6$A8$A7 A9 B1 B4$B6 B5$B8 B7 C1$C2$C4$C3 C5 C6 C7$X1 D0 D1 D2 D3$D5$D8 D6$D7$Y1 D9",-0.49051836154496853,31,0.47722357393890236,-0.9677419354838709
"A1$A2 A3$A4$A5$B2$B3 A6$A8$A7 A9 B1 B4$B6 B5$B8 B7 C1$C2$C4$C3 C5 C6 C7$X1$D3$D5$D8 D0 D1 D2 D6$D7$Y1 D9",-0.4763766349487758,29,0.5103406326034062,-0.986717267552182
"A1$A2 A3$A4$A5$B2$B3 A6$A8$A7 A9 B1 B4$B6 B5$B8 B7 C1$C2$C4$C3 C5 C6$C7$X1$D3$D5$D8 D0 D1 D2 D6$D7$Y1 D9",-0.48800501334275176,30,0.4797369221411191,-0.9677419354838709
"A1$A2 A3$A4$A5$B2$B3 A6$A8$A7 A9 B1 B4$B6 B5$B8 B7 C1$C2$C4$C3 C5 C6$C7$X1$D3$D5$D8$D1 D0 D2 D6$D7$Y1 D9",-0.49429008712032024,32,0.45194647201946464,-0.9462365591397849
"A1$A2 A3$A4$A5$B2$B3$A6$A8$A7 A9 B1 B4$B6 B5$B8 B7 C1$C2$C4$C3 C5 C6$C7$X1$D3$D5$D8$D1 D0 D2 D6$D7$Y1 D9",-0.3889145839640307,25,0.4866614529023287,-0.8755760368663594
"A1$A2 A3$A4$A5$B2$B3$A6$A8$A7 A9 B1 B4$B6$B7 B5$B8 C1$C2$C4$C3 C5 C6$C7$X1$D3$D5$D8$D1 D0 D2 D6$D7$Y1 D9",-0.44612637578260367,28,0.44717387235635414,-0.8933002481389578
"A1$A2 A3$A4$A5$B2$B3$A6$A8$A7 A9 B1 B4$B6$B7 B5$B8 C1$C2$C4$C3$D6$D7$Y1 C5 C6$C7$X1$D3$D5$D8$D1 D0 D2 D9",-0.4223929309578004,27,0.4915855636658556,-0.913978494623656
"A1$A2 A3$A4$A5$B2$B3$A6$A8$A7 A9 B1 B4$B6$B7 B5$B8 C1$C2$C4$C3$D6$D7$Y1 C5 C6$C7$X1$D3$D5$D8$D1$D9 D0 D2",-0.37104801250080266,23,0.45006635700066355,-0.8211143695014662
