"design","score","rank","average-cohession","average-coupling"
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessOpts JSON2CSVBase.preprocessRow JSON2CSVBase.processCell JSON2CSVBase.processRow JSON2CSVBase.processValue JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVParser.processData JSON2CSVTransform._flush JSON2CSVTransform._transform JSON2CSVTransform.constructor JSON2CSVTransform.getPendingData JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine JSON2CSVTransform.write flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.fastJoin utils.flattenReducer utils.setProp utils.unsetProp",0,31,1,-1
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessOpts JSON2CSVBase.preprocessRow JSON2CSVBase.processCell JSON2CSVBase.processRow JSON2CSVBase.processValue JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVParser.processData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine JSON2CSVTransform.write flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.fastJoin utils.flattenReducer utils.setProp utils.unsetProp",0.00903225806451613,30,1,-0.9909677419354839
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell JSON2CSVBase.processRow JSON2CSVBase.processValue JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVParser.processData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine JSON2CSVTransform.write flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.fastJoin utils.flattenReducer utils.setProp utils.unsetProp",0.01866666666666661,29,1,-0.9813333333333334
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue JSON2CSVBase.processRow JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVParser.processData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine JSON2CSVTransform.write flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.fastJoin utils.flattenReducer utils.setProp utils.unsetProp",0.028965517241379413,28,1,-0.9710344827586206
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVBase.processRow JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVParser.processData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine JSON2CSVTransform.write flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.fastJoin utils.flattenReducer utils.setProp utils.unsetProp",0.040000000000000036,27,1,-0.96
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVBase.processRow JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVParser.processData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.fastJoin utils.flattenReducer utils.setProp utils.unsetProp",0.05185185185185193,26,1,-0.9481481481481481
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVBase.processRow$utils.fastJoin JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVParser.processData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.06461538461538463,24,1,-0.9353846153846154
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.06426894586894594,25,0.9858689458689459,-0.9216
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVParser.parse JSON2CSVParser.preprocessData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.12458689458689465,23,0.9779202279202279,-0.8533333333333333
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVParser.parse$JSON2CSVParser.preprocessData JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.14217762913415077,22,0.976960237829803,-0.8347826086956522
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData JSON2CSVBase.preprocessFieldsInfo JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushHeader JSON2CSVTransform.pushLine flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.1565501165501164,21,0.971095571095571,-0.8145454545454546
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader JSON2CSVBase.preprocessRow JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse JSON2CSVTransform.pushLine flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.18782254782254781,20,0.9192511192511192,-0.7314285714285714
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.21121367521367507,18,0.9152136752136751,-0.7040000000000001
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.2091767881241564,19,0.8828609986504722,-0.6736842105263158
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.3596147062813728,17,0.9285035951702617,-0.5688888888888889
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVParser.constructor JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.4228779499367734,15,0.9499367734661851,-0.5270588235294117
"JSON2CSVAsyncParser.constructor JSON2CSVBase.constructor$JSON2CSVBase.preprocessOpts JSON2CSVBase.getHeader$JSON2CSVBase.processRow$utils.fastJoin$JSON2CSVParser.processData$JSON2CSVParser.parse$JSON2CSVParser.preprocessData$JSON2CSVBase.preprocessFieldsInfo$JSON2CSVTransform.pushHeader$JSON2CSVBase.preprocessRow$JSON2CSVTransform.pushLine$JSON2CSVTransform._transform$JSON2CSVTransform.write$JSON2CSVParser.constructor JSON2CSVBase.processCell$JSON2CSVBase.processValue$JSON2CSVBase.value JSON2CSVTransform._flush$JSON2CSVTransform.getPendingData JSON2CSVTransform.constructor JSON2CSVTransform.initJSONParser JSON2CSVTransform.initNDJSONParse JSON2CSVTransform.initObjectModeParse flatten.step unwind.getUnwindablePaths unwind.unwind unwind.unwindReducer utils.flattenReducer utils.setProp utils.unsetProp",0.46564979180363797,14,0.945649791803638,-0.48
